file,total,afd,cdu,spd,csu,fdp,linke,gruene,grüne,wahlkampf,merkel,flüchtlinge,refugees,asyl,btw17,btw2017,schulz,schulztrain,schulzzug,stmartin
"~/tweets/germany_2017_07_27_11_00_02.json","7542","666","247","260","465","1523","159","31","89","99","915","224","1264","123","136","32","211","0","0","0"
"~/tweets/germany_2017_07_27_12_00_03.json","6740","538","177","250","391","1368","139","35","91","82","879","224","1233","197","120","23","202","0","0","1"
"~/tweets/germany_2017_07_27_13_00_00.json","6451","493","192","263","303","1549","269","28","121","73","809","169","1139","140","113","16","361","0","2","5"
"~/tweets/germany_2017_07_27_14_00_02.json","7093","582","213","256","258","1707","177","31","65","61","1062","189","1126","111","101","25","473","0","3","2"
"~/tweets/germany_2017_07_27_15_00_02.json","7692","576","277","295","449","1966","211","29","74","76","1051","197","1032","136","103","25","477","0","0","2"
"~/tweets/germany_2017_07_27_16_00_01.json","7781","541","278","357","439","2034","237","37","85","45","985","233","1257","106","128","36","480","0","2","2"
"~/tweets/germany_2017_07_27_17_00_01.json","7909","808","304","407","425","2049","204","31","110","70","1021","159","1192","125","213","34","327","0","2","2"
"~/tweets/germany_2017_07_27_18_00_02.json","7894","775","219","423","251","2067","240","33","100","80","869","214","1238","110","226","31","411","0","3","1"
"~/tweets/germany_2017_07_27_19_00_01.json","7596","712","205","361","202","1850","132","30","71","99","1261","195","1155","97","249","21","361","0","4","0"
"~/tweets/germany_2017_07_27_20_00_02.json","8108","860","286","380","315","2121","205","70","91","92","952","216","1274","115","211","17","345","0","2","1"
"~/tweets/germany_2017_07_27_21_00_01.json","7131","607","207","311","200","2204","129","40","59","53","800","155","964","97","186","23","324","0","2","1"
"~/tweets/germany_2017_07_27_22_00_01.json","6016","365","104","228","234","2166","168","23","49","44","444","87","845","55","87","9","154","0","0","0"
"~/tweets/germany_2017_07_27_23_00_02.json","5089","215","42","104","233","2203","52","12","17","14","356","61","804","40","30","6","84","0","0","0"
"~/tweets/germany_2017_07_28_00_00_02.json","3874","138","42","108","71","1649","31","14","13","5","261","36","815","21","14","8","122","0","0","2"
"~/tweets/germany_2017_07_28_01_00_01.json","3705","115","20","93","63","1776","17","6","10","11","214","30","716","21","14","2","153","0","1","1"
